video_id,audio_file,signal_file,label
btjwbtsgln,btjwbtsgln.wav,btjwbtsgln_signal.csv,1
btohlidmru,btohlidmru.wav,btohlidmru_signal.csv,1
bvgwelbeof,bvgwelbeof.wav,bvgwelbeof_signal.csv,1
bvzjkezkms,bvzjkezkms.wav,bvzjkezkms_signal.csv,1
bweezhfpzp,bweezhfpzp.wav,bweezhfpzp_signal.csv,1
bwuwstvsbw,bwuwstvsbw.wav,bwuwstvsbw_signal.csv,1
bxzakyopjf,bxzakyopjf.wav,bxzakyopjf_signal.csv,1
bydaidkpdp,bydaidkpdp.wav,bydaidkpdp_signal.csv,1
byofowlkki,byofowlkki.wav,byofowlkki_signal.csv,1
byqzyxifza,byqzyxifza.wav,byqzyxifza_signal.csv,1
byunigvnay,byunigvnay.wav,byunigvnay_signal.csv,1
cbbibzcoih,cbbibzcoih.wav,cbbibzcoih_signal.csv,1
ccmonzqfrz,ccmonzqfrz.wav,ccmonzqfrz_signal.csv,1
cdphtzqrvp,cdphtzqrvp.wav,cdphtzqrvp_signal.csv,1
cettndmvzl,cettndmvzl.wav,cettndmvzl_signal.csv,1
ceymbecxnj,ceymbecxnj.wav,ceymbecxnj_signal.csv,1
cfxkpiweqt,cfxkpiweqt.wav,cfxkpiweqt_signal.csv,1
cfyduhpbps,cfyduhpbps.wav,cfyduhpbps_signal.csv,1
chtapglbcj,chtapglbcj.wav,chtapglbcj_signal.csv,1
chzieimrwu,chzieimrwu.wav,chzieimrwu_signal.csv,1
cizlkenljw,cizlkenljw.wav,cizlkenljw_signal.csv,1
ckjaibzfxa,ckjaibzfxa.wav,ckjaibzfxa_signal.csv,1
cksanfsjhc,cksanfsjhc.wav,cksanfsjhc_signal.csv,1
clihsshdkq,clihsshdkq.wav,clihsshdkq_signal.csv,1
cnilkgvfei,cnilkgvfei.wav,cnilkgvfei_signal.csv,1
cprhtltsjp,cprhtltsjp.wav,cprhtltsjp_signal.csv,1
cqhngvpgyi,cqhngvpgyi.wav,cqhngvpgyi_signal.csv,1
cqrskwiqng,cqrskwiqng.wav,cqrskwiqng_signal.csv,1
crktehraph,crktehraph.wav,crktehraph_signal.csv,1
cthdnahrkh,cthdnahrkh.wav,cthdnahrkh_signal.csv,1
cttqtsjvgn,cttqtsjvgn.wav,cttqtsjvgn_signal.csv,1
curpwogllm,curpwogllm.wav,curpwogllm_signal.csv,1
cwbacdwrzo,cwbacdwrzo.wav,cwbacdwrzo_signal.csv,1
cwrtyzndpx,cwrtyzndpx.wav,cwrtyzndpx_signal.csv,1
cwsbspfzck,cwsbspfzck.wav,cwsbspfzck_signal.csv,1
cwwandrkus,cwwandrkus.wav,cwwandrkus_signal.csv,1
cxfujlvsuw,cxfujlvsuw.wav,cxfujlvsuw_signal.csv,1
cxrfacemmq,cxrfacemmq.wav,cxrfacemmq_signal.csv,1
